date,open,close,high,low,volume,company
2016-11-30,113.4600,110.5200,113.7700,104.0800,721554967,AAPL
2016-10-31,112.7100,113.5400,118.6900,112.2800,686914224,AAPL
2016-09-30,106.1400,113.0500,116.1800,102.5300,970096738,AAPL
2016-08-31,104.4100,106.1000,110.2300,104.0000,630128567,AAPL
2016-07-29,95.4900,104.2100,104.5500,94.3700,685779613,AAPL
2016-06-30,99.0200,95.6000,101.8900,91.5000,780630235,AAPL
2016-05-31,93.9650,99.8600,100.7300,89.4700,901144768,AAPL
2016-04-29,108.7800,93.7400,112.3900,92.5100,872383623,AAPL
2016-03-31,97.6500,108.9900,110.4200,97.4200,745756771,AAPL
2016-02-29,96.4700,96.6900,98.8900,92.5900,810862547,AAPL
2016-01-29,102.6100,97.3400,105.8500,92.3900,1271848087,AAPL
2015-12-31,118.7500,105.2600,119.8600,104.8200,922626259,AAPL
2015-11-30,119.8700,118.3000,123.8200,111.0000,750606735,AAPL
2015-10-30,109.0700,119.5000,121.2200,107.3100,1113703829,AAPL
2015-09-30,110.1800,109.9500,116.8900,107.3600,1203789074,AAPL
2015-08-31,121.5000,112.7600,122.5700,92.0000,1606359115,AAPL
2015-07-31,126.9000,121.3000,132.9700,119.2200,1058280697,AAPL
2015-06-30,131.2000,125.4250,131.3900,124.4800,878606841,AAPL
2015-05-29,126.1000,130.2800,132.9700,123.3600,954152126,AAPL
2015-04-30,124.8200,125.1500,134.5400,123.1000,996135511,AAPL
2015-03-31,129.2500,124.4300,130.2800,121.6300,1138641910,AAPL
2015-02-27,118.0500,128.4600,133.6000,116.0800,1136535493,AAPL
